routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-D5-33-8B,-80,3,0,0,0,241,9,1595327868170
B8-27-EB-C0-BC-B1,-95,3,0,0,0,238,9,1595327867223
B8-27-EB-D5-33-8B,-79,3,0,0,0,243,9,1595327868722
B8-27-EB-DB-FE-98,-87,3,0,0,0,243,9,1595327869259
B8-27-EB-DB-FE-98,-90,3,1,0,0,245,9,1595327869917
B8-27-EB-C0-BC-B1,-96,3,1,0,0,245,9,1595327870091
B8-27-EB-C0-BC-B1,-88,3,0,0,0,249,9,1595327871341
B8-27-EB-6A-B8-0B,-83,3,1,0,0,244,9,1595327870080
B8-27-EB-D5-33-8B,-94,3,0,0,0,248,9,1595327870864
B8-27-EB-F2-6B-8A,-99,3,0,0,0,248,9,1595327871063
B8-27-EB-6A-B8-0B,-86,3,0,0,0,248,9,1595327871077
B8-27-EB-DB-FE-98,-70,3,0,0,0,248,9,1595327871522
B8-27-EB-DB-FE-98,-87,3,1,0,0,250,9,1595327871939
B8-27-EB-F2-6B-8A,-84,3,1,0,0,250,9,1595327871979
B8-27-EB-6A-B8-0B,-66,3,1,0,0,251,9,1595327872576
B8-27-EB-DB-FE-98,-86,3,1,0,0,250,9,1595327872555
B8-27-EB-6A-B8-0B,-80,3,0,0,0,253,9,1595327873273
B8-27-EB-DB-FE-98,-89,3,0,0,0,252,9,1595327873386
B8-27-EB-DB-FE-98,-89,3,0,0,0,254,9,1595327873868
B8-27-EB-6A-B8-0B,-67,3,0,0,0,0,9,1595327874778
B8-27-EB-C0-BC-B1,-89,3,0,0,0,255,9,1595327875067
B8-27-EB-D5-33-8B,-77,3,6,0,0,3,9,1595327876402
B8-27-EB-6A-B8-0B,-79,3,1,0,0,2,9,1595327876517
B8-27-EB-DB-FE-98,-91,3,0,0,0,1,9,1595327876611
B8-27-EB-D5-33-8B,-88,3,14,0,0,5,9,1595327877129
B8-27-EB-C0-BC-B1,-89,3,6,0,0,3,9,1595327877073
B8-27-EB-DB-FE-98,-71,3,14,0,0,5,9,1595327877206
B8-27-EB-C0-BC-B1,-85,4,19,0,0,6,9,1595327877765
B8-27-EB-DB-FE-98,-69,3,11,0,0,8,9,1595327879369
B8-27-EB-6A-B8-0B,-98,4,24,0,0,9,9,1595327879580
B8-27-EB-DB-FE-98,-83,3,15,0,0,11,9,1595327879965
B8-27-EB-6A-B8-0B,-85,3,15,0,0,11,9,1595327880209
B8-27-EB-DB-FE-98,-68,4,7,0,0,12,9,1595327880480
B8-27-EB-D5-33-8B,-92,3,3,0,0,13,9,1595327881135
B8-27-EB-C0-BC-B1,-91,3,3,0,0,13,9,1595327881626
B8-27-EB-C0-BC-B1,-92,3,1,0,0,15,9,1595327882079
B8-27-EB-6A-B8-0B,-93,3,0,0,0,14,9,1595327882262
B8-27-EB-DB-FE-98,-72,4,7,0,0,17,9,1595327882903
B8-27-EB-F2-6B-8A,-86,4,7,0,0,17,9,1595327883571
B8-27-EB-6A-B8-0B,-79,3,13,0,0,19,9,1595327884020
B8-27-EB-6A-B8-0B,-66,3,2,0,0,21,9,1595327885021
B8-27-EB-D5-33-8B,-85,4,9,0,0,20,9,1595327884307
B8-27-EB-DB-FE-98,-73,3,13,0,0,19,9,1595327883828
B8-27-EB-C0-BC-B1,-89,4,7,0,0,17,9,1595327884069
B8-27-EB-6A-B8-0B,-80,3,1,0,0,23,9,1595327885745
B8-27-EB-DB-FE-98,-71,3,1,0,0,23,9,1595327885866
B8-27-EB-D5-33-8B,-87,3,1,0,0,22,9,1595327886086
B8-27-EB-DB-FE-98,-86,3,2,0,0,24,9,1595327886268
B8-27-EB-F2-6B-8A,-82,3,45,0,0,29,9,1595327888695
B8-27-EB-6A-B8-0B,-91,3,15,0,0,26,9,1595327887941
B8-27-EB-D5-33-8B,-75,3,27,0,0,27,9,1595327887802
B8-27-EB-D5-33-8B,-80,3,4,0,0,25,9,1595327887110
B8-27-EB-6A-B8-0B,-74,3,45,0,0,29,10,1595327889326
B8-27-EB-6A-B8-0B,-91,3,76,0,0,33,10,1595327890687
B8-27-EB-22-6B-12,-84,3,44,0,0,35,10,1595327891510
B8-27-EB-AD-32-FA,-93,3,35,0,0,38,10,1595327892945
B8-27-EB-22-6B-12,-83,3,31,0,0,41,10,1595327894380
B8-27-EB-DB-FE-98,-96,3,31,0,0,41,10,1595327894502
B8-27-EB-7A-0F-BF,-81,3,39,0,0,42,10,1595327895527
B8-27-EB-7A-0F-BF,-89,4,14,0,0,46,10,1595327896790
B8-27-EB-22-6B-12,-81,3,20,0,0,44,10,1595327896007
B8-27-EB-DB-FE-98,-80,4,14,0,0,46,10,1595327897383
B8-27-EB-AD-32-FA,-99,3,12,0,0,45,10,1595327897541
B8-27-EB-6A-B8-0B,-82,3,32,0,0,50,10,1595327898844
B8-27-EB-D5-33-8B,-77,3,36,0,0,51,10,1595327899195
B8-27-EB-6A-B8-0B,-89,4,38,0,0,52,10,1595327900062
B8-27-EB-6A-B8-0B,-70,3,32,0,0,54,10,1595327900980
B8-27-EB-DB-FE-98,-93,4,42,0,0,55,10,1595327901088
B8-27-EB-D5-33-8B,-75,3,32,0,0,54,10,1595327901151
B8-27-EB-DB-FE-98,-78,4,54,0,0,58,10,1595327902872
