routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-6A-B8-0B,-82,2,0,0,100,116,0,1595323737661,Dining
B8-27-EB-DB-FE-98,-90,2,0,0,100,120,0,1595323739675,Dining
B8-27-EB-DB-FE-98,-75,2,0,0,100,124,0,1595323741085,Dining
B8-27-EB-DB-FE-98,-88,2,0,0,100,124,0,1595323742028,Dining
B8-27-EB-6A-B8-0B,-84,2,0,0,100,126,0,1595323742500,Dining
B8-27-EB-DB-FE-98,-82,2,0,0,100,134,0,1595323745892,Dining
B8-27-EB-DB-FE-98,-91,2,0,0,100,134,0,1595323746360,Dining
B8-27-EB-DB-FE-98,-72,2,0,0,100,137,0,1595323747722,Dining
B8-27-EB-DB-FE-98,-79,2,0,0,100,127,0,1595323742990,Dining
B8-27-EB-DB-FE-98,-96,2,0,0,100,130,0,1595323744430,Dining
B8-27-EB-DB-FE-98,-80,2,0,0,100,140,0,1595323749506,Dining
B8-27-EB-DB-FE-98,-92,2,0,0,100,142,0,1595323749979,Dining
B8-27-EB-6A-B8-0B,-87,2,0,0,100,144,0,1595323750768,Dining
B8-27-EB-DB-FE-98,-75,2,0,0,100,146,0,1595323751650,Dining
B8-27-EB-6A-B8-0B,-87,2,0,0,100,145,0,1595323752095,Dining
B8-27-EB-DB-FE-98,-97,2,0,0,100,152,0,1595323754966,Dining
B8-27-EB-6A-B8-0B,-87,2,0,0,100,150,0,1595323753585,Dining
B8-27-EB-6A-B8-0B,-80,3,0,0,100,155,0,1595323756383,Dining
B8-27-EB-DB-FE-98,-83,3,2,0,100,154,0,1595323756684,Dining
B8-27-EB-6A-B8-0B,-76,3,11,0,100,158,0,1595323757441,Dining
B8-27-EB-DB-FE-98,-84,3,16,0,100,157,0,1595323757806,Dining
B8-27-EB-DB-FE-98,-89,2,1,0,100,159,0,1595323758346,Dining
B8-27-EB-6A-B8-0B,-93,3,5,0,100,160,0,1595323758815,Dining
B8-27-EB-6A-B8-0B,-82,3,2,0,100,162,0,1595323759353,Dining
B8-27-EB-6A-B8-0B,-96,3,2,0,100,162,0,1595323760294,Dining
B8-27-EB-6A-B8-0B,-84,3,0,0,100,164,0,1595323760766,Dining
B8-27-EB-DB-FE-98,-79,3,0,0,100,164,0,1595323761161,Dining
B8-27-EB-DB-FE-98,-91,3,0,0,100,166,0,1595323762126,Dining
B8-27-EB-DB-FE-98,-93,3,0,0,100,168,0,1595323762686,Dining
B8-27-EB-6A-B8-0B,-84,3,0,0,100,167,0,1595323762658,Dining
B8-27-EB-DB-FE-98,-71,3,0,0,100,170,0,1595323763175,Dining
B8-27-EB-6A-B8-0B,-82,3,2,0,100,172,0,1595323765058,Dining
B8-27-EB-DB-FE-98,-77,2,1,0,100,180,0,1595323768128,Dining
B8-27-EB-DB-FE-98,-78,2,1,0,100,184,0,1595323770768,Dining
B8-27-EB-DB-FE-98,-78,2,1,0,100,183,0,1595323769878,Dining
B8-27-EB-6A-B8-0B,-93,2,1,0,100,193,0,1595323774657,Dining
B8-27-EB-DB-FE-98,-77,2,1,0,100,192,0,1595323774164,Dining
B8-27-EB-DB-FE-98,-89,2,2,0,100,202,0,1595323778922,Dining
B8-27-EB-DB-FE-98,-76,2,0,0,100,204,0,1595323780190,Dining
B8-27-EB-6A-B8-0B,-95,2,1,0,100,210,0,1595323782816,Dining
B8-27-EB-DB-FE-98,-92,2,0,0,100,214,0,1595323785201,Dining
B8-27-EB-6A-B8-0B,-98,2,2,0,100,231,0,1595323793399,Dining
B8-27-EB-DB-FE-98,-87,2,2,0,100,231,0,1595323793393,Dining
B8-27-EB-6A-B8-0B,-83,2,1,0,100,238,0,1595323796263,Dining
B8-27-EB-6A-B8-0B,-81,2,1,0,100,234,0,1595323794037,Dining
B8-27-EB-6A-B8-0B,-95,2,1,0,100,235,0,1595323794660,Dining
B8-27-EB-6A-B8-0B,-84,2,0,0,100,214,0,1595323785710,Dining
B8-27-EB-DB-FE-98,-93,2,1,0,100,238,0,1595323796247,Dining
B8-27-EB-DB-FE-98,-77,2,3,0,100,240,0,1595323797594,Dining
B8-27-EB-6A-B8-0B,-97,4,23,0,100,246,0,1595323800106,Dining
B8-27-EB-6A-B8-0B,-86,2,2,0,100,242,0,1595323798658,Dining
B8-27-EB-D5-33-8B,-96,2,29,0,100,247,0,1595323800113,Dining
