routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-C0-BC-B1,-84,2,0,0,100,123,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-96,2,0,0,100,123,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-99,2,0,0,100,125,Dining,1.59533E+12
B8-27-EB-6A-B8-0B,-95,2,1,0,100,120,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-97,2,0,0,100,129,Dining,1.59533E+12
B8-27-EB-6A-B8-0B,-79,2,4,0,100,130,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-91,2,4,0,100,130,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-83,2,12,0,100,131,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-75,2,22,0,100,132,Dining,1.59533E+12
B8-27-EB-6A-B8-0B,-86,2,19,0,100,134,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-75,4,17,0,100,136,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-83,2,28,0,100,137,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-83,4,17,0,100,139,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-85,4,18,0,100,142,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-84,2,20,0,100,144,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-85,4,32,0,100,145,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-77,4,30,0,100,148,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-68,4,10,0,100,152,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-94,4,10,0,100,152,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-81,4,14,0,100,159,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-88,2,23,0,100,161,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-84,2,10,0,100,166,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-76,4,12,0,100,169,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-70,2,14,0,100,174,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-81,2,14,0,100,174,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-75,4,12,0,100,176,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-74,2,22,0,100,178,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-82,4,17,0,100,185,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-75,4,12,0,100,188,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-90,4,12,0,100,188,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-77,2,40,0,100,190,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-85,4,7,0,100,194,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-92,2,7,0,100,199,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-88,2,4,0,100,200,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-82,2,15,0,100,207,Toilet,1.59533E+12
B8-27-EB-C0-BC-B1,-81,2,5,0,100,217,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-73,2,0,0,100,214,Pantry,1.59533E+12
B8-27-EB-6A-B8-0B,-98,2,0,0,100,214,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-73,2,0,0,100,222,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-59,2,11,0,100,219,Pantry,1.59533E+12
B8-27-EB-C0-BC-B1,-77,2,4,0,100,226,Pantry,1.59533E+12
B8-27-EB-DB-FE-98,-88,2,14,0,100,231,Pantry,1.59533E+12
B8-27-EB-6A-B8-0B,-82,2,20,0,100,232,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-87,2,27,0,100,234,Dining,1.59533E+12
B8-27-EB-C0-BC-B1,-96,4,34,0,100,236,Dining,1.59533E+12
B8-27-EB-DB-FE-98,-78,2,112,0,100,243,Dining,1.59533E+12
