routerSerial,ri,action,movement,fall,battery,count,label,routerTime,loc_label
B8-27-EB-D5-33-8B,-81,2,0,0,100,53,0,1595325181455,Dining
B8-27-EB-DB-FE-98,-76,2,0,0,100,53,0,1595325181651,Dining
B8-27-EB-DB-FE-98,-75,2,0,0,100,58,0,1595325183825,Dining
B8-27-EB-DB-FE-98,-67,4,38,0,100,63,0,1595325186271,Dining
B8-27-EB-DB-FE-98,-84,2,27,0,100,65,0,1595325187171,Dining
B8-27-EB-6A-B8-0B,-82,2,1,0,100,67,0,1595325188227,Dining
B8-27-EB-C0-BC-B1,-81,2,1,0,100,67,0,1595325188299,Dining
B8-27-EB-D5-33-8B,-83,2,1,0,100,67,0,1595325188502,Dining
B8-27-EB-6A-B8-0B,-89,2,0,0,100,53,0,1595325181454,Dining
B8-27-EB-C0-BC-B1,-86,2,45,0,100,64,0,1595325186753,Dining
B8-27-EB-6A-B8-0B,-82,2,0,0,100,69,0,1595325189276,Dining
B8-27-EB-C0-BC-B1,-82,2,0,0,100,74,0,1595325191666,Dining
B8-27-EB-DB-FE-98,-87,2,0,0,100,75,0,1595325192390,Dining
B8-27-EB-DB-FE-98,-73,2,0,0,100,73,0,1595325191154,Dining
B8-27-EB-C0-BC-B1,-82,2,0,0,100,76,0,1595325193026,Dining
B8-27-EB-D5-33-8B,-84,2,0,0,100,78,0,1595325193515,Dining
B8-27-EB-C0-BC-B1,-93,2,0,0,100,79,0,1595325194082,Dining
B8-27-EB-DB-FE-98,-79,2,0,0,100,80,0,1595325194548,Dining
B8-27-EB-D5-33-8B,-95,2,0,0,100,81,0,1595325195019,Dining
B8-27-EB-DB-FE-98,-90,2,0,0,100,82,0,1595325196056,Dining
B8-27-EB-D5-33-8B,-96,2,3,0,100,84,0,1595325196306,Dining
B8-27-EB-C0-BC-B1,-87,2,3,0,100,84,0,1595325196508,Dining
B8-27-EB-6A-B8-0B,-83,2,1,0,100,85,0,1595325196906,Dining
B8-27-EB-D5-33-8B,-95,2,1,0,100,85,0,1595325196923,Dining
B8-27-EB-DB-FE-98,-70,2,1,0,100,88,0,1595325198297,Dining
B8-27-EB-7A-0F-BF,-92,2,1,0,100,89,0,1595325198874,Dining
B8-27-EB-DB-FE-98,-69,2,1,0,100,90,0,1595325199232,Dining
B8-27-EB-DB-FE-98,-87,2,0,0,100,92,0,1595325200313,Dining
B8-27-EB-6A-B8-0B,-80,2,0,0,100,93,0,1595325201194,Dining
B8-27-EB-C0-BC-B1,-85,2,1,0,100,95,0,1595325201617,Dining
B8-27-EB-6A-B8-0B,-95,2,1,0,100,99,0,1595325203499,Dining
B8-27-EB-D5-33-8B,-81,2,1,0,100,100,0,1595325204000,Dining
B8-27-EB-DB-FE-98,-79,2,0,0,100,101,0,1595325204633,Dining
