routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-D5-33-8B,-92,2,1,0,0,91,0,1.59533E+12
B8-27-EB-C0-BC-B1,-75,2,1,0,0,91,0,1.59533E+12
B8-27-EB-6A-B8-0B,-85,2,0,0,0,93,0,1.59533E+12
B8-27-EB-C0-BC-B1,-74,2,0,0,0,93,0,1.59533E+12
B8-27-EB-DB-FE-98,-88,2,1,0,0,92,0,1.59533E+12
B8-27-EB-D5-33-8B,-82,2,0,0,0,95,0,1.59533E+12
B8-27-EB-DB-FE-98,-85,2,1,0,0,96,0,1.59533E+12
B8-27-EB-C0-BC-B1,-87,2,0,0,0,95,0,1.59533E+12
B8-27-EB-DB-FE-98,-59,2,2,0,0,97,0,1.59533E+12
B8-27-EB-6A-B8-0B,-77,2,2,0,0,97,0,1.59533E+12
B8-27-EB-F2-6B-8A,-94,2,2,0,0,97,0,1.59533E+12
B8-27-EB-DB-FE-98,-66,4,15,0,0,99,0,1.59533E+12
B8-27-EB-C0-BC-B1,-73,2,4,0,0,98,0,1.59533E+12
B8-27-EB-C0-BC-B1,-89,2,42,0,0,100,0,1.59533E+12
B8-27-EB-6A-B8-0B,-78,2,42,0,0,100,0,1.59533E+12
B8-27-EB-D5-33-8B,-77,2,4,0,0,98,0,1.59533E+12
B8-27-EB-D5-33-8B,-100,4,16,0,0,102,0,1.59533E+12
B8-27-EB-DB-FE-98,-69,4,16,0,0,102,0,1.59533E+12
B8-27-EB-6A-B8-0B,-81,2,21,0,0,104,0,1.59533E+12
B8-27-EB-DB-FE-98,-67,2,19,0,0,106,0,1.59533E+12
B8-27-EB-C0-BC-B1,-78,2,19,0,0,106,0,1.59533E+12
B8-27-EB-D5-33-8B,-82,4,27,0,0,105,0,1.59533E+12
B8-27-EB-D5-33-8B,-92,2,21,0,0,107,0,1.59533E+12
B8-27-EB-C0-BC-B1,-67,4,21,0,0,108,0,1.59533E+12
B8-27-EB-DB-FE-98,-74,2,19,0,0,109,0,1.59533E+12
B8-27-EB-D5-33-8B,-95,2,22,0,0,110,0,1.59533E+12
B8-27-EB-C0-BC-B1,-77,2,22,0,0,110,0,1.59533E+12
B8-27-EB-DB-FE-98,-76,4,17,0,0,111,1,1.59533E+12
B8-27-EB-C0-BC-B1,-77,2,16,0,0,112,1,1.59533E+12
B8-27-EB-DB-FE-98,-82,2,29,0,0,113,1,1.59533E+12
B8-27-EB-C0-BC-B1,-87,2,24,0,0,115,1,1.59533E+12
B8-27-EB-C0-BC-B1,-78,4,37,0,0,117,1,1.59533E+12
B8-27-EB-DB-FE-98,-75,2,24,0,0,118,1,1.59533E+12
B8-27-EB-C0-BC-B1,-67,4,7,0,0,120,1,1.59533E+12
B8-27-EB-C0-BC-B1,-60,2,1,0,0,122,1,1.59533E+12
B8-27-EB-DB-FE-98,-74,2,0,0,0,123,1,1.59533E+12
B8-27-EB-C0-BC-B1,-75,2,1,0,0,122,1,1.59533E+12
B8-27-EB-DB-FE-98,-76,2,16,0,0,125,1,1.59533E+12
B8-27-EB-C0-BC-B1,-58,2,16,0,0,125,1,1.59533E+12
B8-27-EB-C0-BC-B1,-71,2,16,0,0,125,1,1.59533E+12
B8-27-EB-D5-33-8B,-84,2,19,0,0,127,1,1.59533E+12
B8-27-EB-C0-BC-B1,-87,2,19,0,0,127,1,1.59533E+12
B8-27-EB-DB-FE-98,-94,2,7,0,0,130,1,1.59533E+12
B8-27-EB-C0-BC-B1,-79,4,25,0,0,129,1,1.59533E+12
B8-27-EB-C0-BC-B1,-90,4,16,0,0,132,1,1.59533E+12
