routerSerial,ri,action,movement,fall,battery,count,label,routerTime
B8-27-EB-6A-B8-0B,-82,2,0,0,100,116,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-90,2,0,0,100,120,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-75,2,0,0,100,124,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-88,2,0,0,100,124,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-84,2,0,0,100,126,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-82,2,0,0,100,134,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-91,2,0,0,100,134,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-72,2,0,0,100,137,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-79,2,0,0,100,127,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-96,2,0,0,100,130,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-80,2,0,0,100,140,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-92,2,0,0,100,142,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-87,2,0,0,100,144,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-75,2,0,0,100,146,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-87,2,0,0,100,145,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-97,2,0,0,100,152,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-87,2,0,0,100,150,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-80,3,0,0,100,155,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-83,3,2,0,100,154,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-76,3,11,0,100,158,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-84,3,16,0,100,157,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-89,2,1,0,100,159,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-93,3,5,0,100,160,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-82,3,2,0,100,162,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-96,3,2,0,100,162,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-84,3,0,0,100,164,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-79,3,0,0,100,164,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-91,3,0,0,100,166,Dining,1.59532E+12
B8-27-EB-DB-FE-98,-93,3,0,0,100,168,Dining,1.59532E+12
B8-27-EB-6A-B8-0B,-84,3,0,0,100,167,Dining,1.59532E+12
